Матриця попарних порівнянь:

	Яблуко	Банан	Апельсин	Груша	Ківі	Манго	Ананас	Полуниця	Виноград	Персик	Слива	Абрикос
Яблуко	0	1	1	1	1	1	1	1	1	1	1	1
Банан	-1	0	1	1	1	1	1	1	1	1	1	1
Апельсин	-1	-1	0	1	1	1	1	1	1	1	1	1
Груша	-1	-1	-1	0	1	1	1	1	1	1	1	1
Ківі	-1	-1	-1	-1	0	1	1	1	1	1	1	1
Манго	-1	-1	-1	-1	-1	0	1	1	1	1	1	1
Ананас	-1	-1	-1	-1	-1	-1	0	1	1	1	1	1
Полуниця	-1	-1	-1	-1	-1	-1	-1	0	-1	1	1	1
Виноград	-1	-1	-1	-1	-1	-1	-1	1	0	1	1	1
Персик	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1
Слива	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1
Абрикос	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
